mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
0.906,0.084,0.792,1.0,0.0,0.0,39732.0,21679.0,1.0
0.897,0.089,0.775,1.0,0.0,0.0,38333.0,22831.0,1.0
0.838,0.119,0.674,1.0,0.001,0.0,40542.0,20602.0,1.0
0.714,0.158,0.503,0.998,0.001,0.001,35074.0,16895.0,1.0
0.718,0.156,0.509,0.998,0.001,0.001,35516.0,16973.0,1.0
0.379,0.183,0.057,0.657,0.001,0.001,38871.0,18256.0,1.0
0.419,0.175,0.12,0.707,0.001,0.001,30703.0,16029.0,1.0
0.56,0.174,0.264,0.844,0.001,0.001,39767.0,19755.0,1.0
0.716,0.156,0.505,0.995,0.001,0.001,37987.0,18009.0,1.0
0.258,0.15,0.0,0.458,0.001,0.001,36799.0,16892.0,1.0
0.265,0.153,0.002,0.47,0.001,0.0,39965.0,18392.0,1.0
0.184,0.13,0.0,0.365,0.001,0.0,37977.0,20603.0,1.0
0.3,0.159,0.011,0.52,0.001,0.001,36531.0,16459.0,1.0
0.227,0.142,0.0,0.422,0.001,0.0,37399.0,16941.0,1.0
0.159,0.117,0.0,0.321,0.001,0.0,38134.0,20919.0,1.0
0.231,0.143,0.0,0.425,0.001,0.0,39696.0,20143.0,1.0
0.405,0.161,0.326,0.478,0.004,0.003,16485.0,19164.0,1.0
